timeseries_id,scenario_description,model,region,historical_years,start_time,threshold,hysteresis_margin,total_wall_time_h,training_time_h,paused_time_h,checkpoint_overhead_h,total_energy_kwh,total_emissions_kgco2,baseline_emissions_kgco2,baseline_time_h,co2_savings_pct,score,tokens_processed,tokens_total,completed,num_pauses,actual_overhead_pct,within_overhead_budget,stop_reason
23,Deepseek training in US,Deepseek,US,"[2022, 2023, 2024, 2025]",1970-08-08T00:00:00Z,450.0,400.0,2970.6666666666665,1300.7812502032423,1669.5134164634248,0.37199999999999994,2629513.547295539,1073316.3188628163,1050536.8745916141,1300.8333333333333,-2.1683621795815102,-0.016890768903068266,14800000000000,14800000000000,True,9,128.37557555995096,True,completed
24,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,550.0,500.0,19403.5,10898.437547680573,8484.478452319358,20.58400000000019,2650503.017966417,1327489.6866868862,1307459.5158172124,10898.5,-1.5319916699030034,-0.019631032174731854,15500000000000,15500000000000,True,498,78.03928271662207,True,completed
25,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,600.0,550.0,11594.5,10898.437547680573,692.8384523194271,3.2239999999999975,2494559.0799232987,1301662.7575973545,1307459.5158172124,10898.5,0.4433604367653966,0.06941813904714074,15500000000000,15500000000000,True,78,6.386809598343131,True,completed
26,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,550.0,500.0,18663.5,10898.437547680573,7745.305118986036,19.75733333333351,2635895.6798117375,1318845.7289867704,1291613.0908240855,10898.5,-2.1084207303372615,-0.0295921529213477,15500000000000,15500000000000,True,478,71.24931855891609,True,completed
27,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,600.0,550.0,11376.5,10898.437547680573,475.87178565275997,2.1906666666666688,2490091.4976299577,1286618.6499508198,1291613.0908240855,10898.5,0.3866824290298218,0.08815237977137509,15500000000000,15500000000000,True,53,4.386522859991871,True,completed
28,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,550.0,500.0,17984.5,10898.437547680573,7068.041118986041,18.021333333333477,2622289.0696903206,1310694.462953808,1290492.691534151,10898.5,-1.5654309049701671,-0.024076489578216415,15500000000000,15500000000000,True,436,65.01906766285877,True,completed
29,Kimi training in China,Kimi,CN,"[2022, 2023, 2024, 2025]",1970-06-01T00:00:00Z,600.0,550.0,11288.5,10898.437547680573,388.2851189860934,1.7773333333333348,2488288.858952619,1288098.4762463428,1290492.691534151,10898.5,0.18552722564914806,0.05183674719939035,15500000000000,15500000000000,True,43,3.5790676628592553,True,completed
30,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,25.0,20.0,23657.416666666668,10898.437547680573,12746.703118986125,12.27600000000003,2731756.319112284,52068.61596870794,58215.79657797806,10898.5,10.559300002081356,0.09019520295725525,15500000000000,15500000000000,True,297,117.07163636058952,True,completed
31,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-01-01T00:00:00Z,30.0,25.0,13554.833333333334,10898.437547680573,2648.625118986089,7.770666666666642,2533745.7501731575,54479.61185053219,58215.79657797806,10898.5,6.4178194700838285,0.26330490644037946,15500000000000,15500000000000,True,188,24.374097531437474,True,completed
32,Kimi training in Sweden,Kimi,SE,"[2022, 2023, 2024, 2025]",1970-02-18T00:00:00Z,25.0,20.0,22592.416666666668,10898.437547680573,11681.703118986145,12.27600000000003,2710981.1511136373,51421.9665619778,57991.894224076306,10898.5,11.329044774279657,0.10558329645614509,15500000000000,15500000000000,True,297,107.29959334983702,True,completed
